年月,公募基金净值,沪深300指数,沪深300滚动市盈率
2001,154936.59,3940.05,11.96
2002,163598.63,3686.16,11.57
2003,166367.15,3912.58,10.85
2004,177828.06,3867.02,11.77
2005,176435.02,4163.96,11.6
2006,169043.92,4695.05,12.38
2007,176895.15,4816.22,13.67
2008,177982.61,4587.40,14.45
2009,178047.16,4695.33,13.87
2010,183093.10,4960.25,13.92
2011,187545.36,5211.29,14.71
2012,198914.91,5351.96,15.71
2101,205944.60,5336.76,15.59
2102,217811.45,5048.36,15.87
2103,215592.97,5123.49,14.61
2104,225068.12,5331.57,13.52
2105,229090.66,5224.04,14.09
2106,230328.33,4811.17,14.32
2107,235407.49,4805.61,13.12
2108,240159.86,4866.38,12.41
2109,239013.02,4908.77,12.61
2110,244068.68,4832.03,12.67
2111,253210.56,4940.37,12.25
2112,255625.05,4563.77,13.99
2201,258740.05,4581.65,12.44
2202,263401.84,4222.60,12.57
2203,250845.56,4016.24,11.72
2204,255210.32,4091.52,11.21
2205,262552.19,4485.01,11.32
2206,267862.81,4170.10,12.31
2207,270625.24,4078.84,11.44
2208,272944.27,3804.89,11.02
2209,265856.87,3508.70,10.47
2210,265480.61,3853.04,9.61
2211,263814.93,3871.63,10.57
2212,260311.89,4156.86,11.38
2301,272496.46,4069.46,11.26
2302,269390.39,4050.93,11.17
2303,266779.52,4029.09,11.27
2304,272943.29,3798.54,11.47
2305,277738.16,3842.45,10.93
2306,276897.63,4014.63,10.97
2307,288044.67,3765.27,11.36
2308,287107.82,3689.52,10.99
2309,274800.45,3572.51,10.87
2310,273818.63,3496.20,10.48
